measure_start,beat_start,measure_end,beat_end,motive,instruments
1,1.0,9,1.0,M1,
3,1.0,3,2.0,M2,
3,2.0,3,3.0,M2,
3,3.0,3,4.0,M2,
3,4.0,4,1.0,M2,
4,1.0,4,2.0,M2,
4,1.0,4,1.5,M3,
4,1.5,4,2.0,M3,
4,2.0,4,3.0,M2,
4,2.0,4,2.5,M3,
4,2.5,4,3.0,M3,
4,3.0,4,4.0,M2,
4,3.0,4,3.5,M3,
4,3.5,4,4.0,M3,
4,4.0,5,1.0,M2,
4,4.0,4,4.5,M3,
4,4.5,5,1.0,M3,
5,1.0,5,2.0,M2,
5,1.0,5,1.25,M3,
5,1.0,5,1.25,M4,
5,1.25,5,1.5,M4,
5,1.5,5,1.75,M3,
5,1.5,5,1.75,M4,
5,1.75,5,2.0,M4,
5,2.0,5,3.0,M2,
5,2.0,5,2.25,M3,
5,2.0,5,2.25,M4,
5,2.25,5,2.5,M4,
5,2.5,5,2.75,M3,
5,2.5,5,2.75,M4,
5,2.75,5,3.0,M4,
5,3.0,5,4.0,M2,
5,3.0,5,3.25,M3,
5,3.0,5,3.25,M4,
5,3.25,5,3.5,M4,
5,3.5,5,3.75,M3,
5,3.5,5,3.75,M4,
5,3.75,5,4.0,M4,
5,4.0,6,1.0,M2,
5,4.0,5,4.25,M3,
5,4.0,5,4.25,M4,
5,4.25,5,4.5,M4,
5,4.5,5,4.75,M3,
5,4.5,5,4.75,M4,
5,4.75,6,1.0,M4,
6,1.0,6,2.0,M2,
6,1.0,6,1.25,M3,
6,1.0,6,1.25,M4,
6,1.25,6,1.5,M4,
6,1.5,6,1.75,M3,
6,1.5,6,1.75,M4,
6,1.75,6,2.0,M4,
6,2.0,6,3.0,M2,
6,2.0,6,2.25,M3,
6,2.0,6,2.25,M4,
6,2.25,6,2.5,M4,
6,2.5,6,2.75,M3,
6,2.5,6,2.75,M4,
6,2.75,6,3.0,M4,
6,3.0,6,4.0,M2,
6,3.0,6,3.25,M3,
6,3.0,6,3.25,M4,
6,3.25,6,3.5,M4,
6,3.5,6,3.75,M3,
6,3.5,6,3.75,M4,
6,3.75,6,4.0,M4,
6,4.0,7,1.0,M2,
6,4.0,6,4.25,M3,
6,4.0,6,4.25,M4,
6,4.25,6,4.5,M4,
6,4.5,6,4.75,M3,
6,4.5,6,4.75,M4,
6,4.75,7,1.0,M4,
7,1.0,7,2.0,M2,
7,1.0,7,1.25,M3,
7,1.0,7,1.25,M4,
7,1.25,7,1.5,M4,
7,1.5,7,1.75,M3,
7,1.5,7,1.75,M4,
7,1.75,7,2.0,M4,
7,2.0,7,3.0,M2,
7,2.0,7,2.25,M3,
7,2.0,7,2.25,M4,
7,2.25,7,2.5,M4,
7,2.5,7,2.75,M3,
7,2.5,7,2.75,M4,
7,2.75,7,3.0,M4,
7,3.0,7,4.0,M2,
7,3.0,7,3.25,M3,
7,3.0,7,3.25,M4,
