measure_start,beat_start,measure_end,beat_end,motive,instruments
1,1,1,1.5,M1,Drum Set
1,1.5,1,2,M1,Drum Set
1,2,1,2.5,M1,Drum Set
1,2.5,1,3,M1,Drum Set
1,3,1,3.5,M1,Drum Set
1,3.5,1,4,M1,Drum Set
1,4,1,4.5,M1,Drum Set
1,4.5,2,1,M1,Drum Set
2,1,2,1.5,M1,Drum Set
2,1.5,2,2,M1,Drum Set
2,2,2,2.5,M1,Drum Set
2,2.5,2,3,M1,Drum Set
2,3,2,3.5,M1,Drum Set
2,3.5,2,4,M1,Drum Set
2,4,2,4.5,M1,Drum Set
2,4.5,3,1,M1,Drum Set
3,1,3,1.5,M1,"Drum Set, Percussion"
3,1.5,3,2,M1,"Drum Set, Percussion"
3,2,3,2.5,M1,"Drum Set, Percussion"
3,2.5,3,3,M1,"Drum Set, Percussion"
3,3,3,3.5,M1,"Drum Set, Percussion"
3,3.5,3,4,M1,"Drum Set, Percussion"
3,4,3,4.5,M1,"Drum Set, Percussion"
3,4.5,4,1,M1,"Drum Set, Percussion"
4,1,4,1.5,M1,Drum Set
4,1.5,4,2,M1,Drum Set
4,1.5,4,2,M1,Claves
4,2,4,2.5,M1,Drum Set
4,2,4,2.5,M1,Claves
4,2.5,4,3,M1,Drum Set
4,3,4,3.5,M1,Drum Set
4,3.5,4,4,M1,Drum Set
4,3.5,4,4,M1,Claves
4,4,4,4.5,M1,Drum Set
4,4,4,4.5,M1,Claves
4,4.5,5,1,M1,Drum Set
5,1,5,1.5,M1,"Drum Set, Percussion"
5,1,5,1.25,M2,"Conga, Double Bass, Violoncello"
5,1.25,5,1.5,M2,"Conga, Double Bass, Violoncello"
5,1.5,5,2,M1,"Drum Set, Percussion"
5,1.5,5,2,M2,"Conga, Double Bass, Violoncello"
5,2,5,2.5,M1,"Drum Set, Percussion"
5,2,5,2.25,M2,"Conga, Double Bass, Violoncello"
5,2.25,5,2.5,M2,"Conga, Double Bass, Violoncello"
5,2.5,5,3,M1,"Drum Set, Percussion"
5,2.5,5,3,M2,"Conga, Double Bass, Violoncello"
5,3,5,3.5,M1,"Drum Set, Percussion"
5,3,5,3.25,M2,"Conga, Double Bass, Violoncello"
5,3.25,5,3.5,M2,"Conga, Double Bass, Violoncello"
5,3.5,5,4,M1,"Drum Set, Percussion"
5,3.5,5,3.75,M2,"Conga, Double Bass, Violoncello"
5,3.75,5,4,M2,"Conga, Double Bass, Violoncello"
5,4,5,4.5,M1,"Drum Set, Percussion"
5,4,5,4.5,M2,"Conga, Double Bass, Violoncello"
5,4.5,6,1,M1,"Drum Set, Percussion"
5,4.5,6,1,M2,"Conga, Double Bass, Violoncello"
6,1,6,1.5,M1,Drum Set
6,1,6,1.5,M2,"Conga, Double Bass, Violoncello"
6,1.5,6,2,M1,Drum Set
6,1.5,6,1.75,M2,"Conga, Double Bass, Violoncello"
6,1.5,6,2,M6,Claves
6,1.75,6,2,M2,"Conga, Double Bass, Violoncello"
6,2,6,2.5,M1,Drum Set
6,2,6,2.5,M2,"Conga, Double Bass, Violoncello"
6,2,6,2.5,M6,Claves
6,2.5,6,3,M1,Drum Set
6,2.5,6,2.75,M2,"Conga, Double Bass, Violoncello"
6,2.75,6,3,M2,"Conga, Double Bass, Violoncello"
6,3,6,3.5,M1,Drum Set
6,3,6,3.5,M2,"Conga, Double Bass, Violoncello"
6,3.5,6,4,M1,Drum Set
6,3.5,6,4,M2,"Conga, Double Bass, Violoncello"
6,3.5,6,4,M1,Claves
6,4,6,4.5,M1,Drum Set
6,4,6,4.25,M2,"Conga, Double Bass, Violoncello"
6,4,6,4.5,M1,Claves
6,4.25,6,4.5,M2,"Conga, Double Bass, Violoncello"
6,4.5,7,1,M1,Drum Set
6,4.5,6,4.75,M2,"Conga, Double Bass, Violoncello"
6,4.75,7,1,M2,"Conga, Double Bass, Violoncello"
7,1,7,1.5,M1,"Drum Set, Percussion"
7,1,7,1.25,M2,"Conga, Double Bass, Violoncello"
7,1,7,1.25,M3,"Castanets, Viola, Violin I, Violin II"
7,1.25,7,1.5,M2,"Conga, Double Bass, Violoncello"
7,1.25,7,1.5,M3,"Castanets, Viola, Violin I, Violin II"
7,1.5,7,2,M1,"Drum Set, Percussion"
7,1.5,7,2,M2,"Conga, Double Bass, Violoncello"
7,1.5,7,1.75,M3,"Castanets, Viola, Violin I, Violin II"
7,1.75,7,2,M3,"Castanets, Viola, Violin I, Violin II"
7,2,7,2.5,M1,"Drum Set, Percussion"
7,2,7,2.25,M2,"Conga, Double Bass, Violoncello"
7,2,7,2.25,M3,"Castanets, Viola, Violin I, Violin II"
7,2.25,7,2.5,M2,"Conga, Double Bass, Violoncello"
7,2.25,7,2.5,M3,"Castanets, Viola, Violin I, Violin II"
7,2.5,7,3,M1,"Drum Set, Percussion"
7,2.5,7,3,M2,"Conga, Double Bass, Violoncello"
7,2.5,7,2.75,M3,"Castanets, Viola, Violin I, Violin II"
7,2.75,7,3,M3,"Castanets, Viola, Violin I, Violin II"
7,3,7,3.5,M1,"Drum Set, Percussion"
7,3,7,3.25,M2,"Conga, Double Bass, Violoncello"
7,3,7,3.25,M3,"Castanets, Viola, Violin I, Violin II"
7,3.25,7,3.5,M2,"Conga, Double Bass, Violoncello"
7,3.25,7,3.5,M3,"Castanets, Viola, Violin I, Violin II"
7,3.5,7,4,M1,"Drum Set, Percussion"
7,3.5,7,3.75,M2,"Conga, Double Bass, Violoncello"
7,3.5,7,3.75,M3,"Castanets, Viola, Violin I, Violin II"
7,3.75,7,4,M2,"Conga, Double Bass, Violoncello"
7,3.75,7,4,M3,"Castanets, Viola, Violin I, Violin II"
7,4,7,4.5,M1,"Drum Set, Percussion"
7,4,7,4.5,M2,"Conga, Double Bass, Violoncello"
7,4,7,4.25,M3,"Castanets, Viola, Violin I, Violin II"
7,4.25,7,4.5,M3,"Castanets, Viola, Violin I, Violin II"
7,4.5,8,1,M1,"Drum Set, Percussion"
7,4.5,8,1,M2,"Conga, Double Bass, Violoncello"
7,4.5,7,4.75,M3,"Castanets, Viola, Violin I, Violin II"
7,4.75,8,1,M3,"Castanets, Viola, Violin I, Violin II"
